Akron,15
Arizona,5
Belmont,13
Boston University,16
Brigham Young,3
Bucknell,14
Butler,8
California Santa Barbara,15
Cincinnati,6
Clemson,12
Connecticut,3
Duke,1
Florida,2
Florida State,10
George Mason,8
Georgetown,6
Georgia,10
Gonzaga,11
Hampton,16
Illinois,9
Indiana State,14
Kansas,1
Kansas State,5
Kentucky,4
Long Island University,15
Louisville,4
Marquette,11
Memphis,12
Michigan,8
Michigan State,10
Missouri,11
Morehead State,13
Nevada Las Vegas,8
North Carolina,2
North Carolina Asheville,16
Northern Colorado,15
Notre Dame,2
Oakland,13
Ohio State,1
Old Dominion,9
Penn State,10
Pittsburgh,1
Princeton,13
Purdue,3
Richmond,12
Saint Peters,14
San Diego State,2
St Johns Ny,6
Syracuse,3
Temple,7
Tennessee,9
Texas,4
Texas Am,7
Texas San Antonio,16
Ucla,7
Utah State,12
Vanderbilt,5
Villanova,9
Virginia Commonwealth,11
Washington,7
West Virginia,5
Wisconsin,4
Wofford,14
Xavier,6